"transcript","gene","Gene"
"Peer2.0.1.fasta011765-RA","XK"," Membrane transport protein XK (Mus musculus)"
"Peer2.0.1.fasta011775-RA","UQCRC1"," Cytochrome b-c1 complex subunit 1%2C mitochondrial (Fragments) (Mesocricetus auratus)"
"Peer2.0.1.fasta011770-RA","CDC42"," Cell division control protein 42 homolog (Homo sapiens)"
"Peer2.0.1.fasta011771-RA","FAM47E"," Protein FAM47E (Homo sapiens)"
"Peer2.0.1.fasta011769-RA","FTH1"," Ferritin heavy chain (Cricetulus griseus)"
"Peer2.0.1.fasta011774-RA","FTHL17"," Ferritin heavy polypeptide-like 17 (Mus musculus)"
"Peer2.0.1.fasta011773-RA","COX16"," Cytochrome c oxidase assembly protein COX16 homolog%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta011772-RA",NA,NA
"Peer2.0.1.fasta011778-RA","SF3B1"," Splicing factor 3B subunit 1 (Mus musculus)"
"Peer2.0.1.fasta011779-RA","FTSJ1"," Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (Homo sapiens)"
"Peer2.0.1.fasta011776-RA","SLC38A5"," Sodium-coupled neutral amino acid transporter 5 (Rattus norvegicus)"
"Peer2.0.1.fasta011777-RA","SLC38A5"," Sodium-coupled neutral amino acid transporter 5 (Rattus norvegicus)"
"Peer2.0.1.fasta011785-RA","WDR13"," WD repeat-containing protein 13 (Homo sapiens)"
"Peer2.0.1.fasta011788-RA","SUV39H1"," Histone-lysine N-methyltransferase SUV39H1 (Bos taurus)"
"Peer2.0.1.fasta011787-RA","WAS"," Wiskott-Aldrich syndrome protein (Homo sapiens)"
"Peer2.0.1.fasta011786-RA","NCL"," Nucleolin (Mesocricetus auratus)"
"Peer2.0.1.fasta011790-RA","GLOD5"," Glyoxalase domain-containing protein 5 (Mus musculus)"
"Peer2.0.1.fasta011789-RA","E2F3"," Transcription factor E2F3 (Homo sapiens)"
"Peer2.0.1.fasta011792-RA","HDAC6"," Histone deacetylase 6 (Mus musculus)"
"Peer2.0.1.fasta011791-RA","GATA1"," Erythroid transcription factor (Mus musculus)"
"Peer2.0.1.fasta011794-RA",NA,NA
"Peer2.0.1.fasta011793-RA","ERAS"," GTPase ERas (Mus musculus)"
"Peer2.0.1.fasta011796-RA","PQBP1"," Polyglutamine-binding protein 1 (Mus musculus)"
"Peer2.0.1.fasta011780-RA","PORCN"," Protein-serine O-palmitoleoyltransferase porcupine (Mus musculus)"
"Peer2.0.1.fasta011782-RA","TBC1D25"," TBC1 domain family member 25 (Mus musculus)"
"Peer2.0.1.fasta011784-RA","RBM3"," RNA-binding protein 3 (Capra hircus)"
"Peer2.0.1.fasta011781-RA","EBP"," 3-beta-hydroxysteroid-Delta(8)%2CDelta(7)-isomerase (Rattus norvegicus)"
"Peer2.0.1.fasta011783-RA","RBM3"," RNA-binding protein 3 (Capra hircus)"
"Peer2.0.1.fasta011808-RA","PRICKLE3"," Prickle planar cell polarity protein 3 (Mus musculus)"
"Peer2.0.1.fasta011805-RA","GPKOW"," G-patch domain and KOW motifs-containing protein (Mus musculus)"
"Peer2.0.1.fasta011806-RA","MAGIX"," PDZ domain-containing protein MAGIX (Mus musculus)"
"Peer2.0.1.fasta011807-RA","PLP2"," Proteolipid protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011795-RA","TIMM17B"," Mitochondrial import inner membrane translocase subunit Tim17-B (Mus musculus)"
"Peer2.0.1.fasta011797-RA","SLC35A2"," UDP-galactose translocator (Canis lupus familiaris)"
"Peer2.0.1.fasta011799-RA","OTUD5"," OTU domain-containing protein 5 (Homo sapiens)"
"Peer2.0.1.fasta011802-RA","TFE3"," Transcription factor E3 (Homo sapiens)"
"Peer2.0.1.fasta011804-RA","WDR45"," WD repeat domain phosphoinositide-interacting protein 4 (Rattus norvegicus)"
"Peer2.0.1.fasta011801-RA","GRIPAP1"," GRIP1-associated protein 1 (Homo sapiens)"
"Peer2.0.1.fasta011800-RA","KCND1"," Potassium voltage-gated channel subfamily D member 1 (Mus musculus)"
"Peer2.0.1.fasta011803-RA","CCDC120"," Coiled-coil domain-containing protein 120 (Mus musculus)"
"Peer2.0.1.fasta011798-RA","PIM2"," Serine/threonine-protein kinase pim-2 (Mus musculus)"
"Peer2.0.1.fasta011817-RA","SUSD1"," Sushi domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta011821-RA","USP22"," Ubiquitin carboxyl-terminal hydrolase 22 (Mus musculus)"
"Peer2.0.1.fasta011818-RA","RPL35"," 60S ribosomal protein L35 (Rattus norvegicus)"
"Peer2.0.1.fasta011820-RA","RBBP4"," Histone-binding protein RBBP4 (Homo sapiens)"
"Peer2.0.1.fasta011819-RA","P4HA1"," Prolyl 4-hydroxylase subunit alpha-1 (Mus musculus)"
"Peer2.0.1.fasta011810-RA","CACNA1F"," Voltage-dependent L-type calcium channel subunit alpha-1F (Mus musculus)"
"Peer2.0.1.fasta011811-RA","CACNA1F"," Voltage-dependent L-type calcium channel subunit alpha-1F (Mus musculus)"
"Peer2.0.1.fasta011814-RA","PPP1R3F"," Protein phosphatase 1 regulatory subunit 3F (Mus musculus)"
"Peer2.0.1.fasta011812-RA","CCDC22"," Coiled-coil domain-containing protein 22 (Mus musculus)"
"Peer2.0.1.fasta011813-RA","FOXP3"," Forkhead box protein P3 (Mus musculus)"
"Peer2.0.1.fasta011809-RA","SYP"," Synaptophysin (Mus musculus)"
"Peer2.0.1.fasta011815-RA","CDC42SE1"," CDC42 small effector protein 1 (Mus musculus)"
"Peer2.0.1.fasta011816-RA","RPL10"," 60S ribosomal protein L10 (Ovis aries)"
"Peer2.0.1.fasta011827-RA","CCNB3"," G2/mitotic-specific cyclin-B3 (Mus musculus)"
"Peer2.0.1.fasta011828-RA","REXO4"," RNA exonuclease 4 (Mus musculus)"
"Peer2.0.1.fasta011822-RA","IL2RA"," Interleukin-2 receptor subunit alpha (Bos taurus)"
"Peer2.0.1.fasta011830-RA","SHROOM4"," Protein Shroom4 (Mus musculus)"
"Peer2.0.1.fasta011829-RA","RPS29"," 40S ribosomal protein S29 (Pongo abelii)"
"Peer2.0.1.fasta011832-RA","SHROOM4"," Protein Shroom4 (Mus musculus)"
"Peer2.0.1.fasta011831-RA","FTL"," Ferritin light chain (Canis lupus familiaris)"
"Peer2.0.1.fasta011836-RA","RPL36AL"," 60S ribosomal protein L36a-like (Pongo abelii)"
"Peer2.0.1.fasta011835-RA","NUDT10"," Diphosphoinositol polyphosphate phosphohydrolase 3-alpha (Mus musculus)"
"Peer2.0.1.fasta011837-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Mus musculus)"
"Peer2.0.1.fasta011833-RA","RPL31"," 60S ribosomal protein L31 (Marmota monax)"
"Peer2.0.1.fasta011834-RA","BMP15"," Bone morphogenetic protein 15 (Mus musculus)"
"Peer2.0.1.fasta011838-RA","RAD17"," Cell cycle checkpoint protein RAD17 (Pongo abelii)"
"Peer2.0.1.fasta011840-RA","MYCS"," Protein S-Myc (Rattus norvegicus)"
"Peer2.0.1.fasta011842-RA","SPIN2B"," Spindlin-2B (Homo sapiens)"
"Peer2.0.1.fasta011841-RA","PPP1R11"," E3 ubiquitin-protein ligase PPP1R11 (Homo sapiens)"
"Peer2.0.1.fasta011844-RA","SPIN2C"," Spindlin-2C (Mus musculus)"
"Peer2.0.1.fasta011843-RA","POLR2H"," DNA-directed RNA polymerases I%2C II%2C and III subunit RPABC3 (Homo sapiens)"
"Peer2.0.1.fasta011823-RA","CLCN5"," H(+)/Cl(-) exchange transporter 5 (Cavia porcellus)"
"Peer2.0.1.fasta011826-RA","AKAP4"," A-kinase anchor protein 4 (Mus musculus)"
"Peer2.0.1.fasta011824-RA","COQ2"," 4-hydroxybenzoate polyprenyltransferase%2C mitochondrial (Bos taurus)"
"Peer2.0.1.fasta011825-RA","COQ2"," 4-hydroxybenzoate polyprenyltransferase%2C mitochondrial (Bos taurus)"
"Peer2.0.1.fasta011839-RA","GMCL2"," Germ cell-less protein-like 2 (Mus musculus)"
"Peer2.0.1.fasta011846-RA","NBDY"," Negative regulator of P-body association (Pongo abelii)"
"Peer2.0.1.fasta011845-RA","CNIH3"," Protein cornichon homolog 3 (Homo sapiens)"
"Peer2.0.1.fasta011847-RA","KLF8"," Krueppel-like factor 8 (Mus musculus)"
"Peer2.0.1.fasta011848-RA","HECTD1"," E3 ubiquitin-protein ligase HECTD1 (Mus musculus)"
"Peer2.0.1.fasta011849-RA","RRAGB"," Ras-related GTP-binding protein B (Homo sapiens)"
"Peer2.0.1.fasta011850-RA","FOXR2"," Forkhead box protein R2 (Mus musculus)"
"Peer2.0.1.fasta011852-RA","MAGEH1"," Melanoma-associated antigen H1 (Homo sapiens)"
"Peer2.0.1.fasta011851-RA","USP51"," Ubiquitin carboxyl-terminal hydrolase 51 (Mus musculus)"
"Peer2.0.1.fasta011853-RA","USP27X"," Ubiquitin carboxyl-terminal hydrolase 27 (Homo sapiens)"
"Peer2.0.1.fasta011855-RA","PDHA1"," Pyruvate dehydrogenase E1 component subunit alpha%2C somatic form%2C mitochondrial (Macaca fascicularis)"
"Peer2.0.1.fasta011856-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta011854-RA","FAM156A"," Protein FAM156A/FAM156B (Homo sapiens)"
"Peer2.0.1.fasta011865-RA","RNF187"," E3 ubiquitin-protein ligase RNF187 (Mus musculus)"
"Peer2.0.1.fasta011864-RA","MAGED2"," Melanoma-associated antigen D2 (Homo sapiens)"
"Peer2.0.1.fasta011860-RA","ALAS2"," 5-aminolevulinate synthase%2C erythroid-specific%2C mitochondrial (Rattus norvegicus)"
"Peer2.0.1.fasta011857-RA","CDK2AP1"," Cyclin-dependent kinase 2-associated protein 1 (Homo sapiens)"
"Peer2.0.1.fasta011858-RA","STMN1"," Stathmin (Homo sapiens)"
"Peer2.0.1.fasta011859-RA","STMN1"," Stathmin (Homo sapiens)"
"Peer2.0.1.fasta011867-RA","BOLA1"," BolA-like protein 1 (Bos taurus)"
"Peer2.0.1.fasta011868-RA","ITIH6"," Inter-alpha-trypsin inhibitor heavy chain H6 (Homo sapiens)"
"Peer2.0.1.fasta011866-RA","MAGED2"," Melanoma-associated antigen D2 (Homo sapiens)"
"Peer2.0.1.fasta011870-RA","GNL3L"," Guanine nucleotide-binding protein-like 3-like protein (Mus musculus)"
"Peer2.0.1.fasta011869-RA","COX5A"," Cytochrome c oxidase subunit 5A%2C mitochondrial (Nomascus gabriellae)"
"Peer2.0.1.fasta011863-RA","TRO"," Trophinin (Homo sapiens)"
"Peer2.0.1.fasta011861-RA","APEX2"," DNA-(apurinic or apyrimidinic site) endonuclease 2 (Mus musculus)"
"Peer2.0.1.fasta011862-RA","PFKFB1"," 6-phosphofructo-2-kinase/fructose-2%2C6-bisphosphatase 1 (Bos taurus)"
"Peer2.0.1.fasta011872-RA","TSR2"," Pre-rRNA-processing protein TSR2 homolog (Mus musculus)"
"Peer2.0.1.fasta011873-RA","RPS29"," 40S ribosomal protein S29 (Pongo abelii)"
"Peer2.0.1.fasta011871-RA","FGD1"," FYVE%2C RhoGEF and PH domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta011876-RA","FAM120C"," Constitutive coactivator of PPAR-gamma-like protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011875-RA","FAM120C"," Constitutive coactivator of PPAR-gamma-like protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011874-RA","WNK3"," Serine/threonine-protein kinase WNK3 (Mus musculus)"
"Peer2.0.1.fasta011878-RA","EPG5"," Ectopic P granules protein 5 homolog (Mus musculus)"
"Peer2.0.1.fasta011881-RA","HUWE1"," E3 ubiquitin-protein ligase HUWE1 (Mus musculus)"
"Peer2.0.1.fasta011880-RA","TOX3"," TOX high mobility group box family member 3 (Rattus norvegicus)"
"Peer2.0.1.fasta011879-RA","SOGA1"," Protein SOGA1 (Homo sapiens)"
"Peer2.0.1.fasta011877-RA","PHF8"," Histone lysine demethylase PHF8 (Homo sapiens)"
"Peer2.0.1.fasta011882-RA","HUWE1"," E3 ubiquitin-protein ligase HUWE1 (Mus musculus)"
"Peer2.0.1.fasta011884-RA","RNF11"," RING finger protein 11 (Homo sapiens)"
"Peer2.0.1.fasta011883-RA","RPL36"," 60S ribosomal protein L36 (Pongo abelii)"
"Peer2.0.1.fasta011888-RA","SMC1A"," Structural maintenance of chromosomes protein 1A (Homo sapiens)"
"Peer2.0.1.fasta011887-RA","RIBC1"," RIB43A-like with coiled-coils protein 1 (Mus musculus)"
"Peer2.0.1.fasta011885-RA","HSD17B10"," 3-hydroxyacyl-CoA dehydrogenase type-2 (Homo sapiens)"
"Peer2.0.1.fasta011886-RA","RIBC1"," RIB43A-like with coiled-coils protein 1 (Bos taurus)"
"Peer2.0.1.fasta011889-RA","IQSEC2"," IQ motif and SEC7 domain-containing protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011892-RA","TSPYL2"," Testis-specific Y-encoded-like protein 2 (Mus musculus)"
"Peer2.0.1.fasta011893-RA","GPR173"," Probable G-protein coupled receptor 173 (Bos taurus)"
"Peer2.0.1.fasta011898-RA","SHROOM2"," Protein Shroom2 (Mus musculus)"
"Peer2.0.1.fasta011897-RA","CLDN19"," Claudin-19 (Homo sapiens)"
"Peer2.0.1.fasta011890-RA","KDM5C"," Lysine-specific demethylase 5C (Homo sapiens)"
"Peer2.0.1.fasta011891-RA","KDM5C"," Lysine-specific demethylase 5C (Homo sapiens)"
"Peer2.0.1.fasta011896-RA","CLDN34"," Claudin-34 (Homo sapiens)"
"Peer2.0.1.fasta011895-RA","CLDN34"," Claudin-34 (Homo sapiens)"
"Peer2.0.1.fasta011894-RA","TCEAL8"," Transcription elongation factor A protein-like 8 (Rattus norvegicus)"
"Peer2.0.1.fasta011900-RA","GPR143"," G-protein coupled receptor 143 (Mus musculus)"
"Peer2.0.1.fasta011901-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Mus musculus)"
"Peer2.0.1.fasta011903-RA","MORF4L2"," Mortality factor 4-like protein 2 (Mus musculus)"
"Peer2.0.1.fasta011902-RA","ADAMTS8"," A disintegrin and metalloproteinase with thrombospondin motifs 8 (Homo sapiens)"
"Peer2.0.1.fasta011899-RA","SHROOM2"," Protein Shroom2 (Mus musculus)"
"Peer2.0.1.fasta011907-RA","G0S2"," G0/G1 switch protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011911-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Mus musculus)"
"Peer2.0.1.fasta011910-RA","HMMR"," Hyaluronan mediated motility receptor (Homo sapiens)"
"Peer2.0.1.fasta011908-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Mus musculus)"
"Peer2.0.1.fasta011909-RA","CASP3"," Caspase-3 (Mus musculus)"
"Peer2.0.1.fasta011912-RA","PARP6"," Protein mono-ADP-ribosyltransferase PARP6 (Mus musculus)"
"Peer2.0.1.fasta011913-RA","PARP6"," Protein mono-ADP-ribosyltransferase PARP6 (Mus musculus)"
"Peer2.0.1.fasta011906-RA","ERN2"," Serine/threonine-protein kinase/endoribonuclease IRE2 (Mus musculus)"
"Peer2.0.1.fasta011904-RA","MALSU1"," Mitochondrial assembly of ribosomal large subunit protein 1 (Mus musculus)"
"Peer2.0.1.fasta011905-RA","RAB1A"," Ras-related protein Rab-1A (Mus musculus)"
"Peer2.0.1.fasta011915-RA","WWC2"," Protein WWC2 (Homo sapiens)"
"Peer2.0.1.fasta011914-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta011920-RA","RPS6"," 40S ribosomal protein S6 (Rattus norvegicus)"
"Peer2.0.1.fasta011916-RA","WWC3"," Protein WWC3 (Homo sapiens)"
"Peer2.0.1.fasta011921-RA","SUPV3L1"," ATP-dependent RNA helicase SUPV3L1%2C mitochondrial (Homo sapiens)"
"Peer2.0.1.fasta011917-RA","CLCN4"," H(+)/Cl(-) exchange transporter 4 (Homo sapiens)"
"Peer2.0.1.fasta011918-RA","RPL17"," 60S ribosomal protein L17 (Felis catus)"
"Peer2.0.1.fasta011919-RA","RPL17"," 60S ribosomal protein L17 (Felis catus)"
"Peer2.0.1.fasta011925-RA","MID1"," E3 ubiquitin-protein ligase Midline-1 (Mus musculus)"
"Peer2.0.1.fasta011922-RA","MID1"," E3 ubiquitin-protein ligase Midline-1 (Mus musculus)"
"Peer2.0.1.fasta011924-RA","ALDOA"," Fructose-bisphosphate aldolase A (Oryctolagus cuniculus)"
"Peer2.0.1.fasta011923-RA","ALDOA"," Fructose-bisphosphate aldolase A (Oryctolagus cuniculus)"
"Peer2.0.1.fasta011928-RA","AMELX"," Amelogenin%2C X isoform (Rattus norvegicus)"
"Peer2.0.1.fasta011927-RA","DNAJB6"," DnaJ homolog subfamily B member 6 (Pongo abelii)"
"Peer2.0.1.fasta011926-RA","HCCS"," Cytochrome c-type heme lyase (Mus musculus)"
"Peer2.0.1.fasta011932-RA","HNRNPA1"," Heterogeneous nuclear ribonucleoprotein A1 (Mus musculus)"
"Peer2.0.1.fasta011929-RA","MSL3"," Male-specific lethal 3 homolog (Mus musculus)"
"Peer2.0.1.fasta011931-RA","ERMP1"," Endoplasmic reticulum metallopeptidase 1 (Mus musculus)"
"Peer2.0.1.fasta011930-RA",NA,NA
"Peer2.0.1.fasta011935-RA","PRPS1"," Ribose-phosphate pyrophosphokinase 1 (Bos taurus)"
"Peer2.0.1.fasta011937-RA","SET"," Protein SET (Rattus norvegicus)"
"Peer2.0.1.fasta011936-RA","TLR7"," Toll-like receptor 7 (Mus musculus)"
"Peer2.0.1.fasta011939-RA","TMSB4X"," Thymosin beta-4 (Mus musculus)"
"Peer2.0.1.fasta011938-RA","TLR8"," Toll-like receptor 8 (Mus musculus)"
"Peer2.0.1.fasta011940-RA","WNK3"," Serine/threonine-protein kinase WNK3 (Homo sapiens)"
"Peer2.0.1.fasta011933-RA","FRMPD4"," FERM and PDZ domain-containing protein 4 (Homo sapiens)"
"Peer2.0.1.fasta011934-RA","FANCD2OS"," FANCD2 opposite strand protein (Bos taurus)"
"Peer2.0.1.fasta011941-RA","ALDOA"," Fructose-bisphosphate aldolase A (Oryctolagus cuniculus)"
"Peer2.0.1.fasta011942-RA","ISCA1"," Iron-sulfur cluster assembly 1 homolog%2C mitochondrial (Rattus norvegicus)"
"Peer2.0.1.fasta011943-RA","EGFL6"," Epidermal growth factor-like protein 6 (Mus musculus)"
"Peer2.0.1.fasta011945-RA","SAXO1"," Stabilizer of axonemal microtubules 1 (Rattus norvegicus)"
"Peer2.0.1.fasta011944-RA","TCEANC"," Transcription elongation factor A N-terminal and central domain-containing protein (Mus musculus)"
"Peer2.0.1.fasta011948-RA","OFD1"," Oral-facial-digital syndrome 1 protein homolog (Mus musculus)"
"Peer2.0.1.fasta011946-RA","RAB9A"," Ras-related protein Rab-9A (Homo sapiens)"
"Peer2.0.1.fasta011947-RA","TRAPPC2"," Trafficking protein particle complex subunit 2 (Homo sapiens)"
"Peer2.0.1.fasta011950-RA","GEMIN8"," Gem-associated protein 8 (Mus musculus)"
"Peer2.0.1.fasta011949-RA","GPM6B"," Neuronal membrane glycoprotein M6-b (Mus musculus)"
"Peer2.0.1.fasta011951-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta011952-RA",NA,NA
"Peer2.0.1.fasta011953-RA","GLRA2"," Glycine receptor subunit alpha-2 (Homo sapiens)"
"Peer2.0.1.fasta011957-RA","CNTNAP5B"," Contactin-associated protein like 5-2 (Rattus norvegicus)"
"Peer2.0.1.fasta011960-RA","PIGA"," N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein (Mus musculus)"
"Peer2.0.1.fasta011959-RA","ASB11"," Ankyrin repeat and SOCS box protein 11 (Mus musculus)"
"Peer2.0.1.fasta011958-RA","ASB9"," Ankyrin repeat and SOCS box protein 9 (Mus musculus)"
"Peer2.0.1.fasta011961-RA","VEGFD"," Vascular endothelial growth factor D (Mus musculus)"
"Peer2.0.1.fasta011962-RA","PIR"," Pirin (Rattus norvegicus)"
"Peer2.0.1.fasta011955-RA","FANCB"," Fanconi anemia group B protein homolog (Mus musculus)"
"Peer2.0.1.fasta011956-RA","MOSPD2"," Motile sperm domain-containing protein 2 (Mus musculus)"
"Peer2.0.1.fasta011954-RA","FANCB"," Fanconi anemia group B protein (Homo sapiens)"
"Peer2.0.1.fasta011966-RA","ACE2"," Angiotensin-converting enzyme 2 (Rattus norvegicus)"
"Peer2.0.1.fasta011967-RA","CLTRN"," Collectrin (Rattus norvegicus)"
"Peer2.0.1.fasta011964-RA","BMX"," Cytoplasmic tyrosine-protein kinase BMX (Homo sapiens)"
"Peer2.0.1.fasta011965-RA","BMX"," Cytoplasmic tyrosine-protein kinase BMX (Mus musculus)"
"Peer2.0.1.fasta011963-RA","CTC1"," CST complex subunit CTC1 (Homo sapiens)"
"Peer2.0.1.fasta011972-RA","AP1S2"," AP-1 complex subunit sigma-2 (Mus musculus)"
"Peer2.0.1.fasta011975-RA","GRPR"," Gastrin-releasing peptide receptor (Mus musculus)"
"Peer2.0.1.fasta011974-RA","RNF138"," E3 ubiquitin-protein ligase RNF138 (Rattus norvegicus)"
"Peer2.0.1.fasta011973-RA","RNF138"," E3 ubiquitin-protein ligase RNF138 (Mus musculus)"
"Peer2.0.1.fasta011969-RA","PNO1"," RNA-binding protein PNO1 (Mus musculus)"
"Peer2.0.1.fasta011971-RA","ZRSR2"," U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 (Mus musculus)"
"Peer2.0.1.fasta011968-RA","CA5B"," Carbonic anhydrase 5B%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta011970-RA","SNRPD2"," Small nuclear ribonucleoprotein Sm D2 (Mus musculus)"
"Peer2.0.1.fasta011976-RA","RPS6"," 40S ribosomal protein S6 (Rattus norvegicus)"
"Peer2.0.1.fasta011977-RA","RPL23A"," 60S ribosomal protein L23a (Rattus norvegicus)"
"Peer2.0.1.fasta011978-RA","CEP112"," Centrosomal protein of 112 kDa (Mus musculus)"
"Peer2.0.1.fasta011979-RA","CTPS2"," CTP synthase 2 (Homo sapiens)"
"Peer2.0.1.fasta011980-RA","S100G"," Protein S100-G (Rattus norvegicus)"
"Peer2.0.1.fasta011985-RA",NA,NA
"Peer2.0.1.fasta011986-RA",NA,NA
"Peer2.0.1.fasta011981-RA","CTPS2"," CTP synthase 2 (Homo sapiens)"
"Peer2.0.1.fasta011982-RA","SYAP1"," Synapse-associated protein 1 (Mus musculus)"
"Peer2.0.1.fasta011983-RA","TXLNG"," Gamma-taxilin (Homo sapiens)"
"Peer2.0.1.fasta011984-RA","RBBP7"," Histone-binding protein RBBP7 (Pongo abelii)"
"Peer2.0.1.fasta011989-RA",NA,NA
"Peer2.0.1.fasta011987-RA","REPS2"," RalBP1-associated Eps domain-containing protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011988-RA","TRPM6"," Transient receptor potential cation channel subfamily M member 6 (Mus musculus)"
"Peer2.0.1.fasta011993-RA","RAI2"," Retinoic acid-induced protein 2 (Mus musculus)"
"Peer2.0.1.fasta011992-RA","SCML2"," Sex comb on midleg-like protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011996-RA","SCML2"," Sex comb on midleg-like protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011995-RA","SCML2"," Sex comb on midleg-like protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011997-RA","SCML2"," Sex comb on midleg-like protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011994-RA","BEND2"," BEN domain-containing protein 2 (Homo sapiens)"
"Peer2.0.1.fasta011991-RA","NHS"," Nance-Horan syndrome protein (Homo sapiens)"
"Peer2.0.1.fasta011990-RA","GPRC5C"," G-protein coupled receptor family C group 5 member C (Bos taurus)"
"Peer2.0.1.fasta011998-RA","GJA6"," Gap junction alpha-6 protein (Rattus norvegicus)"
"Peer2.0.1.fasta012001-RA","PPEF1"," Serine/threonine-protein phosphatase with EF-hands 1 (Rattus norvegicus)"
"Peer2.0.1.fasta012002-RA","PPEF1"," Serine/threonine-protein phosphatase with EF-hands 1 (Mus musculus)"
"Peer2.0.1.fasta012003-RA","PPEF1"," Serine/threonine-protein phosphatase with EF-hands 1 (Rattus norvegicus)"
"Peer2.0.1.fasta011999-RA","CDKL5"," Cyclin-dependent kinase-like 5 (Homo sapiens)"
"Peer2.0.1.fasta012000-RA","RS1"," Retinoschisin (Mus musculus)"
"Peer2.0.1.fasta012008-RA","MAP3K15"," Mitogen-activated protein kinase kinase kinase 15 (Mus musculus)"
"Peer2.0.1.fasta012007-RA","PDHA1"," Pyruvate dehydrogenase E1 component subunit alpha%2C somatic form%2C mitochondrial (Macaca fascicularis)"
"Peer2.0.1.fasta012006-RA","ADGRG2"," Adhesion G-protein coupled receptor G2 (Rattus norvegicus)"
"Peer2.0.1.fasta012005-RA","PHKA2"," Phosphorylase b kinase regulatory subunit alpha%2C liver isoform (Oryctolagus cuniculus)"
"Peer2.0.1.fasta012004-RA","PHKA2"," Phosphorylase b kinase regulatory subunit alpha%2C liver isoform (Oryctolagus cuniculus)"
"Peer2.0.1.fasta012011-RA","SH3KBP1"," SH3 domain-containing kinase-binding protein 1 (Mus musculus)"
"Peer2.0.1.fasta012010-RA","OLFR491"," Olfactory receptor 491 (Mus musculus)"
"Peer2.0.1.fasta012012-RA",NA,NA
"Peer2.0.1.fasta012009-RA","SH3KBP1"," SH3 domain-containing kinase-binding protein 1 (Mus musculus)"
"Peer2.0.1.fasta012013-RA","BCLAF3"," BCLAF1 and THRAP3 family member 3 (Mus musculus)"
"Peer2.0.1.fasta012015-RA","RNASE3"," Eosinophil cationic protein (Rattus norvegicus)"
